name_bn,name_bn
ময়মনসিংহ,ঈশ্বরগঞ্জ
ময়মনসিংহ,মুক্তাগাছা
ময়মনসিংহ,"ময়মনসিংহ সদর"
ময়মনসিংহ,নান্দাইল
ময়মনসিংহ,ফুলপুর
ময়মনসিংহ,তারাকান্দা
ময়মনসিংহ,ত্রিশাল
নেত্রকোনা,আটপাড়া
নেত্রকোনা,বারহাট্টা
নেত্রকোনা,দুর্গাপুর
নেত্রকোনা,কলমাকান্দা
নেত্রকোনা,কেন্দুয়া
নেত্রকোনা,খালিয়াজুড়ী
নেত্রকোনা,মদন
নেত্রকোনা,মোহনগঞ্জ
নেত্রকোনা,"নেত্রকোনা সদর"
নেত্রকোনা,পূর্বধলা
শেরপুর,ঝিনাইগাতী
শেরপুর,নকলা
শেরপুর,নালিতাবাড়ী
শেরপুর,"শেরপুর সদর"
শেরপুর,শ্রীবরদী
বগুড়া,আদমদীঘি
বগুড়া,"বগুড়া সদর"
বগুড়া,ধুনট
বগুড়া,দুপচাচিয়া
বগুড়া,গাবতলী
বগুড়া,কাহালু
বগুড়া,নন্দিগ্রাম
বগুড়া,সারিয়াকান্দি
বগুড়া,শাহজাহানপুর
বগুড়া,শেরপুর
বগুড়া,শিবগঞ্জ
বগুড়া,সোনাতলা
"চাঁপাই নবাবগঞ্জ",ভোলাহাট
"চাঁপাই নবাবগঞ্জ","চাঁপাই নবাবগঞ্জ সদর"
"চাঁপাই নবাবগঞ্জ",গোমস্তাপুর
"চাঁপাই নবাবগঞ্জ",নাচোলে
"চাঁপাই নবাবগঞ্জ","শিবগঞ্জ "
জয়পুরহাট,আক্কেলপুর
জয়পুরহাট,"জয়পুরহাট সদর"
জয়পুরহাট,কালাই
জয়পুরহাট,ক্ষেতলাল
জয়পুরহাট,পাঁচবিবি
নওগাঁ,আত্রাই
নওগাঁ,বদলগাছী
নওগাঁ,ধামইরহাট
নওগাঁ,মহাদেবপুর
নওগাঁ,মান্দা
নওগাঁ,"নওগাঁ সদর"
নওগাঁ,নিয়ামতপুর
নওগাঁ,পত্নীতলা
নওগাঁ,পোরশা
নওগাঁ,রাণীনগর
নওগাঁ,সাপাহার
নাটোর,বাগাতিপাড়া
নাটোর,বড়াইগ্রাম
নাটোর,গুরুদাসপুর
নাটোর,লালপুর
নাটোর,নলডাঙ্গা
নাটোর,"নাটোর সদর"
নাটোর,সিংড়া
নাটোর,আটঘরিয়া
পাবনা,বেড়া
পাবনা,ভাঙ্গুড়া
পাবনা,চাটমোহর
পাবনা,ফরিদপুর
পাবনা,ঈশ্বরদী
পাবনা,"পাবনা সদর"
পাবনা,সাঁথিয়া
পাবনা,সুজানগর
রাজশাহী,বাঘা
রাজশাহী,বাঘমারা
রাজশাহী,চারঘাট
রাজশাহী,দুর্গাপুর
রাজশাহী,গোদাগাড়ী
রাজশাহী,মোহনপুর
রাজশাহী,পবা
রাজশাহী,পুঠিয়া
রাজশাহী,তানোর
রাজশাহী,বেলকুচি
সিরাজগঞ্জ,চৌহালী
সিরাজগঞ্জ,কামারখন্দা
সিরাজগঞ্জ,কাজীপুর
সিরাজগঞ্জ,রায়গঞ্জ
সিরাজগঞ্জ,শাহজাদপুর
সিরাজগঞ্জ,"সিরাজগঞ্জ সদর"
সিরাজগঞ্জ,তাড়াশ
সিরাজগঞ্জ,উল্লাপাড়া
সিরাজগঞ্জ,বিরল
দিনাজপুর,বিরামপুর
দিনাজপুর,বীরগঞ্জ
দিনাজপুর,বোচাগঞ্জ
দিনাজপুর,চিরিরবন্দর
দিনাজপুর,"দিনাজপুর সদর"
দিনাজপুর,ফুলবাড়ি
দিনাজপুর,ঘোড়াঘাট
দিনাজপুর,হাকিমপুর
দিনাজপুর,কাহারোল
দিনাজপুর,খানশামা
দিনাজপুর,নবাবগঞ্জ
দিনাজপুর,পার্বতীপুর
গাইবান্ধা,ফুলছড়ি
গাইবান্ধা,"গাইবান্ধা সদর"
গাইবান্ধা,গোবিন্দগঞ্জ
গাইবান্ধা,পলাশবাড়ী
গাইবান্ধা,সাদুল্লাপুর
গাইবান্ধা,সাঘাটা
গাইবান্ধা,সুন্দরগঞ্জ
গাইবান্ধা,ভূরুঙ্গামারী
কুড়িগ্রাম,চিলমারী
কুড়িগ্রাম,ফুলবাড়ী
কুড়িগ্রাম,"কুড়িগ্রাম সদর"
কুড়িগ্রাম,নাগেশ্বরী
কুড়িগ্রাম,রাজারহাট
কুড়িগ্রাম,রাজিবপুর
কুড়িগ্রাম,রৌমারী
কুড়িগ্রাম,উলিপুর
লালমনিরহাট,আদিতমারী
লালমনিরহাট,হাতীবান্ধা
লালমনিরহাট,কালীগঞ্জ
লালমনিরহাট,"লালমনিরহাট সদর"
লালমনিরহাট,পাটগ্রাম
নীলফামারী,ডিমলা
নীলফামারী,ডোমার
নীলফামারী,জলঢাকা
নীলফামারী,"কিশোরগঞ্জ "
নীলফামারী,"নীলফামারী সদর"
নীলফামারী,সৈয়দপুর
পঞ্চগড়,আটোয়ারী
পঞ্চগড়,বোদা
পঞ্চগড়,দেবীগঞ্জ
পঞ্চগড়,"পঞ্চগড় সদর"
পঞ্চগড়,তেতুলিয়া
পঞ্চগড়,বদরগঞ্জ
পঞ্চগড়,গঙ্গাচড়া
পঞ্চগড়,কাউনিয়া
রংপুর,মিঠাপুকুর
রংপুর,পীরগাছা
রংপুর,পীরগঞ্জ
রংপুর,"রংপুর সদর"
রংপুর,তারাগঞ্জ
ঠাকুরগাঁও,বালিয়াডাঙ্গী
ঠাকুরগাঁও,হরিপুর
ঠাকুরগাঁও,"পীরগঞ্জ "
ঠাকুরগাঁও,রানীশংকৈল
ঠাকুরগাঁও,"ঠাকুরগাঁও সদর"
হবিগঞ্জ,আজমিরীগঞ্জ
হবিগঞ্জ,বাহুবল
হবিগঞ্জ,বানিয়াচং
হবিগঞ্জ,চুনারুঘাট
হবিগঞ্জ,"হবিগঞ্জ সদর"
হবিগঞ্জ,লাখাই
হবিগঞ্জ,মাধবপুর
হবিগঞ্জ,নবীগঞ্জ
হবিগঞ্জ,শায়েস্তাগঞ্জ
হবিগঞ্জ,বড়লেখা
মৌলভীবাজার,জুরি
মৌলভীবাজার,কমলগঞ্জ
মৌলভীবাজার,কুলাউড়া
মৌলভীবাজার,"মৌলভীবাজার সদর"
মৌলভীবাজার,রাজনগর
মৌলভীবাজার,শ্রীমঙ্গল
মৌলভীবাজার,বিশ্বম্ভরপুর
সুনামগঞ্জ,ছাতক
সুনামগঞ্জ,ধরমপাশা
সুনামগঞ্জ,দিরাই
সুনামগঞ্জ,দোয়ারাবাজার
সুনামগঞ্জ,জগন্নাথপুর
সুনামগঞ্জ,জামালগঞ্জ
সুনামগঞ্জ,মধ্যনগর
সুনামগঞ্জ,"দক্ষিণ সুনামগঞ্জ"
সুনামগঞ্জ,সুল্লা
সুনামগঞ্জ,"সুনামগঞ্জ সদর"
সুনামগঞ্জ,তাহিরপুর
সুনামগঞ্জ,বালাগঞ্জ
সুনামগঞ্জ,"বিয়ানী বাজার"
সুনামগঞ্জ,বিশ্বনাথ
সুনামগঞ্জ,কোম্পানীগঞ্জ
সিলেট,ফেঞ্চুগঞ্জ
সিলেট,গোয়াইনঘাট
সিলেট,গোলাপগঞ্জ
সিলেট,জৈন্তাপুর
সিলেট,জকিগঞ্জ
সিলেট,কানাইঘাট
সিলেট,ওসমানীনগর
সিলেট,"দক্ষিণ সুরমা"
সিলেট,"সিলেট সদর"
